Ref,Val,Package,PosX,PosY,Rot,Side
"C94","100 nF","C_0402_1005Metric",-2.177559,4.318898,-90.000000,bottom
"C95","100 nF","C_0402_1005Metric",-2.253937,3.713976,90.000000,bottom
"C96","100 nF","C_0402_1005Metric",-2.057480,4.318898,-90.000000,bottom
"C97","100 nF","C_0402_1005Metric",-2.000394,3.713976,90.000000,bottom
"C98","100 nF","C_0402_1005Metric",-1.900787,4.318898,-90.000000,bottom
"C99","100 nF","C_0402_1005Metric",-1.822441,4.318898,-90.000000,bottom
"C100","100 nF","C_0402_1005Metric",-1.979134,4.318898,-90.000000,bottom
"C101","100 nF","C_0402_1005Metric",-1.743307,3.713976,90.000000,bottom
"C102","100 nF","C_0402_1005Metric",-2.267520,4.138583,0.000000,bottom
"C103","100 nF","C_0402_1005Metric",-1.898819,4.231102,90.000000,bottom
"C104","100 nF","C_0402_1005Metric",-2.057087,4.231102,90.000000,bottom
"C105","100 nF","C_0402_1005Metric",-2.133858,4.230906,90.000000,bottom
"C106","100 nF","C_0402_1005Metric",-1.977559,4.231102,90.000000,bottom
"C107","100 nF","C_0402_1005Metric",-1.819291,4.231102,90.000000,bottom
"C108","100 nF","C_0402_1005Metric",-1.693110,4.139764,180.000000,bottom
"C109","100 nF","C_0402_1005Metric",-1.802756,3.828740,0.000000,bottom
"C110","100 nF","C_0402_1005Metric",-1.898819,3.713583,90.000000,bottom
"C111","100 nF","C_0402_1005Metric",-2.077165,3.713976,90.000000,bottom
"C112","100 nF","C_0402_1005Metric",-2.311811,4.279331,-90.000000,bottom
"C113","100 nF","C_0402_1005Metric",-2.297047,4.000000,180.000000,bottom
"C114","100 nF","C_0402_1005Metric",-1.657480,4.314567,-90.000000,bottom
"C115","100 nF","C_0402_1005Metric",-1.818504,3.713976,90.000000,bottom
"C116","100 nF","C_0402_1005Metric",-2.119685,3.713780,90.000000,bottom
"C117","100 nF","C_0402_1005Metric",-1.659646,3.958661,0.000000,bottom
"C118","100 nF","C_0402_1005Metric",-2.259449,4.318898,-90.000000,bottom
"C119","100 nF","C_0402_1005Metric",-1.744094,4.319488,-90.000000,bottom
"C120","100 nF","C_0402_1005Metric",-2.155118,3.829134,180.000000,bottom
"C139","100 nF","C_0402_1005Metric",-5.293632,4.318841,-90.000000,bottom
"C140","100 nF","C_0402_1005Metric",-5.370010,3.713919,90.000000,bottom
"C141","100 nF","C_0402_1005Metric",-5.173553,4.318841,-90.000000,bottom
"C142","100 nF","C_0402_1005Metric",-5.116467,3.713919,90.000000,bottom
"C143","100 nF","C_0402_1005Metric",-5.016860,4.318841,-90.000000,bottom
"C144","100 nF","C_0402_1005Metric",-4.938514,4.318841,-90.000000,bottom
"C145","100 nF","C_0402_1005Metric",-5.095207,4.318841,-90.000000,bottom
"C146","100 nF","C_0402_1005Metric",-4.859380,3.713919,90.000000,bottom
"C147","100 nF","C_0402_1005Metric",-5.375522,4.318841,-90.000000,bottom
"C148","100 nF","C_0402_1005Metric",-4.860167,4.319431,-90.000000,bottom
"C149","100 nF","C_0402_1005Metric",-5.271191,3.829077,180.000000,bottom
"C150","100 nF","C_0402_1005Metric",-5.383593,4.138526,0.000000,bottom
"C151","100 nF","C_0402_1005Metric",-5.014892,4.231045,90.000000,bottom
